,postcode,town,eastings,northings,latitude,longitude,region
45,EC1N,Camden Town,531300.0,181900.0,51.52026,-0.10732,Greater London
46,EC1P,non-geographic,,,,,Greater London
47,EC1R,Islington,531300.0,182400.0,51.52475,-0.10713,Greater London
48,EC1V,Islington,532000.0,182500.0,51.52549,-0.09701,Greater London
49,EC1Y,Islington,532300.0,182200.0,51.52272,-0.0928,Greater London
50,EC2,Islington,532600.0,181900.0,51.51995,-0.08859,Greater London
51,EC2A,Islington,532800.0,182200.0,51.5226,-0.0856,Greater London
52,EC2M,Broadgate,,,,,Greater London
53,EC2N,Old Broad Street,,,,,Greater London
54,EC2P,non-geographic,,,,,Greater London
55,EC2R,Bank of England,,,,,Greater London
56,EC2V,Guildhall,,,,,Greater London
57,EC2Y,Barbican,,,,,Greater London
58,EC3A,St Mary Axe,,,,,Greater London
59,EC3M,Lloyd's of London,,,,,Greater London
60,EC3N,Tower Hill,,,,,Greater London
